-0.03128	0	0.10444	-0.01106	0	0.09902	0.00904	0.011	0	0.099	0.00122	-0.00472	0	0.09048	0.20272	0	0	0	0	0	0	0	0
-0.0506	0	0.10961	-0.01103	0	0.09901	0.00346	0.011	0	0.099	9.11361E-4	-0.00245	0	0.08905	0.13233	0	0	0	0	0	0	0	0
-0.06992	0	0.11479	-0.01102	0	0.09901	0.00196	0.011	0	0.099	7.42821E-4	-0.00249	0	0.08895	0.08333	0	0	0	0	0	0	0	0
-0.08924	0	0.11996	-0.011	0	0.099	0.00134	0.011	0	0.099	5.93009E-4	-0.00125	0	0.08845	0.06463	0	0	0	0	0	0	0	0
-0.10856	0	0.12514	-0.011	0	0.099	9.73783E-4	0.011	0	0.099	5.05618E-4	-0.00126	0	0.08843	0.04945	0	0	0	0	0	0	0	0
-0.02919	0	0.1095	-0.01107	0	0.09904	0.00907	0.011	0	0.099	0.00151	-0.00536	0	0.09195	0.1632	0	0	0	0	0	0	0	0
-0.04651	0	0.1195	-0.01103	0	0.09902	0.00353	0.011	0	0.099	0.00113	-0.00331	0	0.09024	0.113	0	0	0	0	0	0	0	0
-0.06383	0	0.1295	-0.011	0	0.099	0.00209	0.011	0	0.099	8.67665E-4	-0.00223	0	0.08945	0.08343	0	0	0	0	0	0	0	0
-0.08115	0	0.1395	-0.011	0	0.099	0.00142	0.011	0	0.099	6.99126E-4	-0.00112	0	0.08871	0.06646	0	0	0	0	0	0	0	0
-0.09847	0	0.1495	-0.011	0	0.099	0.00105	0.011	0	0.099	5.99251E-4	-0.00113	0	0.08871	0.05243	0	0	0	0	0	0	0	0
-0.02585	0	0.11385	-0.01108	0	0.09908	0.00848	0.011	0	0.099	0.00185	-0.00565	0	0.09365	0.13274	0	0	0	0	0	0	0	0
-0.03999	0	0.12799	-0.011	0	0.099	0.00374	0.011	0	0.099	0.00132	-0.00283	0	0.09083	0.11261	0	0	0	0	0	0	0	0
-0.05413	0	0.14213	-0.011	0	0.099	0.00214	0.011	0	0.099	0.00101	-0.00188	0	0.08988	0.08416	0	0	0	0	0	0	0	0
-0.06828	0	0.15628	-0.011	0	0.099	0.00147	0.011	0	0.099	8.11486E-4	-9.4E-4	0	0.08894	0.06853	0	0	0	0	0	0	0	0
-0.08242	0	0.17042	-0.011	0	0.099	0.0011	0.011	0	0.099	6.92884E-4	-9.4E-4	0	0.08894	0.05476	0	0	0	0	0	0	0	0
-0.0215	0	0.11719	-0.01101	0	0.09902	0.00975	0.011	0	0.099	0.00204	-0.00316	0	0.09229	0.18283	0	0	0	0	0	0	0	0
-0.0315	0	0.13451	-0.011	0	0.099	0.00375	0.011	0	0.099	0.00153	-0.00149	0	0.09021	0.12677	0	0	0	0	0	0	0	0
-0.0415	0	0.15183	-0.011	0	0.099	0.00214	0.011	0	0.099	0.00118	-0.00145	0	0.09023	0.08537	0	0	0	0	0	0	0	0
-0.0515	0	0.16915	-0.011	0	0.099	0.00148	0.011	0	0.099	9.3633E-4	-7.1E-4	0	0.08912	0.07023	0	0	0	0	0	0	0	0
-0.0615	0	0.18647	-0.011	0	0.099	0.00112	0.011	0	0.099	7.86517E-4	-7.1E-4	0	0.08913	0.05674	0	0	0	0	0	0	0	0
-0.01644	0	0.11928	-0.01101	0	0.09902	0.00931	0.011	0	0.099	0.00253	-0.00248	0	0.09272	0.18377	0	0	0	0	0	0	0	0
-0.02161	0	0.1386	-0.011	0	0.099	0.00359	0.011	0	0.099	0.00187	-0.00105	0	0.09045	0.12948	0	0	0	0	0	0	0	0
-0.02679	0	0.15792	-0.011	0	0.099	0.00212	0.011	0	0.099	0.00138	-4.8E-4	0	0.08924	0.09614	0	0	0	0	0	0	0	0
-0.03196	0	0.17724	-0.011	0	0.099	0.00145	0.011	0	0.099	0.00108	-4.5E-4	0	0.08925	0.07238	0	0	0	0	0	0	0	0
-0.03714	0	0.19656	-0.011	0	0.099	0.0011	0.011	0	0.099	8.92634E-4	-4.3E-4	0	0.08926	0.0584	0	0	0	0	0	0	0	0
-0.032	0	0.076	-0.011	0	0.099	0.00322	0.011	0	0.099	5.6804E-4	-0.00291	0	0.076	0.3746	0	0	0	0	0	0	0	0
-0.052	0	0.076	-0.011	0	0.099	0.00235	0.0109	0	0.09896	7.1161E-4	-0.00194	0	0.076	0.15245	0	0	0	0	0	0	0	0
-0.072	0	0.076	-0.011	0	0.099	0.00157	0.01089	0	0.09897	6.11735E-4	-0.00145	0	0.076	0.0876	0	0	0	0	0	0	0	0
-0.092	0	0.076	-0.011	0	0.099	0.00109	0.01089	0	0.09898	5.1186E-4	-0.00109	0	0.076	0.057	0	0	0	0	0	0	0	0
-0.112	0	0.076	-0.011	0	0.099	7.99001E-4	0.011	0	0.099	3.87016E-4	-8.5E-4	0	0.076	0.04065	0	0	0	0	0	0	0	0
-0.032	0	0.08	-0.011	0	0.099	0.00394	0.011	0	0.099	5.49313E-4	-0.00291	0	0.08	0.37822	0	0	0	0	0	0	0	0
-0.052	0	0.08	-0.011	0	0.099	0.00256	0.011	0	0.099	6.36704E-4	-0.00194	0	0.08	0.15709	0	0	0	0	0	0	0	0
