0	-0.02146	0.10433	1.02263	0	-0.02253	0.10601
0	-0.02092	0.10352	1.03995	0	-0.02306	0.10686
0	-0.0204	0.10271	1.07069	0	-0.0236	0.1077
0	-0.01988	0.10189	1.098	0	-0.02414	0.10855
0	-0.01733	0.09791	1.06037	0	-0.02736	0.11361
0	-0.01536	0.10768	0.99414	0	-0.01616	0.10948
0	-0.01496	0.1068	1.02586	0	-0.01656	0.1104
0	-0.01458	0.10591	1.06056	0	-0.01697	0.11131
0	-0.01423	0.10514	1.04131	0	-0.01737	0.11223
0	-0.01389	0.10436	1.04024	0	-0.01778	0.11314
0	-0.01246	0.10115	0.96074	0	-0.0198	0.11771
0	-0.01039	0.10952	0.98803	0	-0.01093	0.11141
0	-0.01012	0.10859	1.02692	0	-0.0112	0.11237
0	-0.00985	0.10766	1.05896	0	-0.01148	0.11333
0	-0.00962	0.10684	1.03952	0	-0.01176	0.11429
0	-0.00941	0.10614	0.9943	0	-0.01203	0.11526
0	-0.00858	0.10323	0.84265	0	-0.01341	0.12006
0	-0.00544	0.11062	0.99466	0	-0.00573	0.11256
0	-0.0053	0.10966	1.0272	0	-0.00587	0.11355
0	-0.00518	0.10882	0.99112	0	-0.00602	0.11454
0	-0.00505	0.10798	0.98181	0	-0.00617	0.11553
0	-0.00496	0.10738	0.90727	0	-0.00631	0.11652
0	-0.00459	0.10487	0.70135	0	-0.00704	0.12146
0	0	0.11103	0.97886	0	0	0.113
0	0	0.11018	0.90979	0	0	0.114
0	0	0.10945	0.83751	0	0	0.115
0	0	0.10885	0.76465	0	0	0.116
0	0	0.10824	0.72419	0	0	0.117
0	0	0.10606	0.54509	0	0	0.122
-0.00224	0	0.11092	0.91054	-0.00261	0	0.11274
-0.00207	0	0.11009	0.84074	-0.00281	0	0.11372
-0.00192	0	0.10938	0.78322	-0.00301	0	0.1147
-0.0018	0	0.10879	0.72626	-0.00321	0	0.11568
-0.00168	0	0.10819	0.68958	-0.00341	0	0.11665
-0.00124	0	0.10606	0.52637	-0.00442	0	0.12155
-0.00168	0	0.11102	0.9018	-0.00196	0	0.11285
-0.00156	0	0.11018	0.83747	-0.00212	0	0.11384
-0.00145	0	0.10947	0.78358	-0.00227	0	0.11483
-0.00134	0	0.10875	0.75556	-0.00242	0	0.11582
-0.00126	0	0.10827	0.69022	-0.00257	0	0.11681
-9.3E-4	0	0.10611	0.52815	-0.00332	0	0.12175
-0.00112	0	0.11109	0.88285	-0.00131	0	0.11293
-0.00104	0	0.11025	0.83249	-0.00141	0	0.11393
-9.6E-4	0	0.10953	0.78451	-0.00151	0	0.11492
-8.9E-4	0	0.1088	0.76084	-0.00161	0	0.11592
-8.3E-4	0	0.1082	0.72139	-0.00171	0	0.11691
-6.1E-4	0	0.10603	0.54366	-0.00222	0	0.12189
-5.6E-4	0	0.11102	0.96333	-6.57E-4	0	0.11298
-5.1E-4	0	0.11017	0.90287	-7.07E-4	0	0.11398
-4.8E-4	0	0.10944	0.83505	-7.58E-4	0	0.11498
-4.5E-4	0	0.10884	0.76373	-8.08E-4	0	0.11598
-4.2E-4	0	0.10823	0.72366	-8.59E-4	0	0.11698
-3.1E-4	0	0.10605	0.54501	-0.00111	0	0.12197
